id,t,d,wc_exp,bc_exp,edu,lnwage
73,8,1,1,1,15,9.0499954
73,9,1,2,1,15,
73,10,1,3,1,15,
73,11,3,3,1,16,
74,1,3,0,0,10,
74,2,3,0,0,11,
74,3,3,0,0,12,
74,4,3,0,0,13,
74,5,3,0,0,14,
74,6,3,0,0,15,
74,7,3,0,0,16,
74,8,2,0,1,16,9.1846533
74,9,2,0,2,16,9.6661816
74,10,2,0,3,16,10.656694
74,11,2,0,4,16,
75,1,3,0,0,11,
75,2,2,0,1,11,8.178751
75,3,3,0,1,12,
75,4,3,0,1,13,
75,5,3,0,1,14,
75,6,2,0,2,14,8.4915066
75,7,1,1,2,14,9.6661816
75,8,1,2,2,14,10.790226
75,9,1,3,2,14,
75,10,1,4,2,14,11.909847
75,11,1,5,2,14,12.06575
76,1,3,0,0,10,
76,2,3,0,0,11,
76,3,3,0,0,12,
76,4,3,0,0,13,
76,5,2,0,1,13,8.1421213
76,6,2,0,2,13,9.0470562
76,7,2,0,3,13,10.119969
76,8,2,0,4,13,10.283265
76,9,2,0,5,13,10.359329
76,10,3,0,5,14,
76,11,3,0,5,15,
77,1,3,0,0,11,
77,2,1,1,0,11,
77,3,2,1,1,11,10.050976
77,4,2,1,2,11,9.6954784
77,5,2,1,3,11,10.582473
77,6,2,1,4,11,10.415532
77,7,1,2,4,11,10.29971
77,8,3,2,4,12,
77,9,3,2,4,13,
77,10,3,2,4,14,
77,11,3,2,4,15,
78,1,3,0,0,9,
78,2,3,0,0,10,
78,3,3,0,0,11,
78,4,3,0,0,12,
78,5,3,0,0,13,
78,6,3,0,0,14,
78,7,2,0,1,14,8.9134159
78,8,2,0,2,14,10.872985
78,9,2,0,3,14,10.999456
78,10,2,0,4,14,10.413889
78,11,2,0,5,14,8.3182545
79,1,3,0,0,10,
79,2,2,0,1,10,9.0584126
79,3,2,0,2,10,8.536231
79,4,2,0,3,10,9.8968258
79,5,2,0,4,10,9.9578428
79,6,2,0,5,10,10.002654
79,7,2,0,6,10,10.097078
79,8,2,0,7,10,10.194349
79,9,4,0,7,10,
79,10,3,0,7,11,
79,11,4,0,7,11,
80,1,3,0,0,9,
80,2,3,0,0,10,
80,3,3,0,0,11,
80,4,3,0,0,12,
80,5,3,0,0,13,
80,6,3,0,0,14,
80,7,3,0,0,15,
80,8,3,0,0,16,
80,9,3,0,0,17,
80,10,3,0,0,18,
80,11,3,0,0,19,
81,1,3,0,0,11,
81,2,3,0,0,12,
81,3,3,0,0,13,
81,4,3,0,0,14,
81,5,3,0,0,15,
81,6,3,0,0,16,
81,7,3,0,0,17,
81,8,3,0,0,18,
81,9,3,0,0,19,
81,10,1,1,0,19,10.076567
81,11,1,2,0,19,11.17409
82,1,3,0,0,10,
82,2,3,0,0,11,
82,3,3,0,0,12,
82,4,3,0,0,13,
82,5,3,0,0,14,
82,6,1,1,0,14,8.4915066
82,7,1,2,0,14,10.071647
82,8,1,3,0,14,11.236513
82,9,3,3,0,15,
82,10,3,3,0,16,
82,11,1,4,0,16,11.510282
83,1,3,0,0,10,
83,2,3,0,0,11,
83,3,2,0,1,11,
83,4,2,0,2,11,9.6828279
83,5,2,0,3,11,10.66785
83,6,2,0,4,11,11.186134
83,7,2,0,5,11,11.198174
83,8,2,0,6,11,11.03048
83,9,2,0,7,11,11.101266
83,10,2,0,8,11,11.01337
83,11,2,0,9,11,11.552473
84,1,3,0,0,10,
84,2,3,0,0,11,
84,3,1,1,0,11,
84,4,1,2,0,11,10.433351
84,5,1,3,0,11,10.630795
84,6,1,4,0,11,10.570948
84,7,1,5,0,11,10.253968
84,8,2,5,1,11,10.582586
84,9,2,5,2,11,10.439472
84,10,2,5,3,11,10.480944
84,11,2,5,4,11,10.593991
85,1,3,0,0,9,
85,2,3,0,0,10,
